,,,,Ordinal or label,None,None,One Hot,One Hot,DO not consider: same values,None: Direct use continuous data,DO not use: redundant,,One hot,Binary encoding,Don't use,One hot,Binary: Yes NO,Do not use,Binary ,Binary Encoding,Binary encoding,Binary encoding,do eda BETWEEN Admit Type and Grades,"One Hot , Nominal","One hot, categorical and nominal",Analysis with EDA
Year to Grad,Term Desc,Class,,Grade,GPA,Units Earned,Major at Entry,Major (Latest),Academic Standing,Units Attempting,Enrollment Status Code,,Expected Grad Term,First Generation,Units Needed,Cohort Type,underrepresented,EOP,Parent level edu,Graduated,Enrolled Not Graduated,Not Graduated Not Enrolled,Admit Type,Program Status,Program Action,Academic Career
,Spring 2023,CPSC~483~01,,B,3.24,143,,,,17,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),First-Time Freshmen,Completed Program,Completion of Program,Undergraduate
,Spring 2023,CPSC~483~01,,B,3.27,51,,,,6,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Matriculation,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A-,3.41,24,,,,9,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Data Change,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A+,3.96,51,,,,9,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,B-,2.26,76,,,,12,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A,3.06,51,,,,12,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A-,3.81,31,,,,6,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Matriculation,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A,3.47,61,,,,3,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Active in Program,Data Change,Postbaccalaureate
,Spring 2023,CPSC~597~02,,B,3.46,30,,,,3,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,B+,3.63,30,,,,3,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A+,3.73,30,,,,9,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A+,3.9,30,,,,9,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A-,3.45,33,,,,3,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,B,3.43,24,,,,6,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Data Change,Postbaccalaureate
,Spring 2023,CPSC~597~02,,B-,3.39,48,,,,6,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,B,3.83,49,,,,3,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,B,3.61,30,,,,6,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,B,3.1,30,,,,3,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,B,3.34,36,,,,6,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A,3.53,30,,,,3,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,B,3.41,30,,,,9,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A+,3.15,54,,,,9,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,B,3.03,30,,,,3,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A-,3.39,68,,,,12,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A+,3.86,15,,,,9,E,,,No,0,Enrolled Not Graduated,Unknown,Unknown,Unknown,0%     (0),100%     (1),0%     (0),Grad/PB,Active in Program,Matriculation,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A-,3.09,55,,,,9,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,B-,3.54,36,,,,12,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A+,3.84,39,,,,6,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~597~02,,A,3.51,30,,,,3,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
,Spring 2023,CPSC~598~01,,A+,3.7,33,,,,6,E,,,No,0,Graduated,Unknown,Unknown,Unknown,100%     (1),0%     (0),0%     (0),Grad/PB,Completed Program,Completion of Program,Postbaccalaureate
